initial_temperature,cooling_factor,epoch_length,no_improve_limit,avg_distance
1,0.8,10,5,533493.2
1,0.8,10,10,482502.4
1,0.8,10,15,458465.4
1,0.8,10,20,436698
1,0.8,10,30,409171.4
1,0.8,20,5,370970.4
1,0.8,20,10,337480
1,0.8,20,15,318557
1,0.8,20,20,304830.2
1,0.8,20,30,285263.4
1,0.8,35,5,278489.6
1,0.8,35,10,251779.2
1,0.8,35,15,239097
1,0.8,35,20,227762.4
1,0.8,35,30,212521.4
1,0.8,50,5,231943.8
1,0.8,50,10,208758.8
1,0.8,50,15,198433.8
1,0.8,50,20,188614
1,0.8,50,30,177172.8
1,0.8,100,5,160099.8
1,0.8,100,10,145515.6
1,0.8,100,15,137681.4
1,0.8,100,20,132328.4
1,0.8,100,30,123880.4
1,0.85,10,5,531429.8
1,0.85,10,10,486829.8
1,0.85,10,15,456253.8
1,0.85,10,20,436733.8
1,0.85,10,30,408979
1,0.85,20,5,369053.8
1,0.85,20,10,336121
1,0.85,20,15,318424.4
1,0.85,20,20,304732.6
1,0.85,20,30,284623.8
1,0.85,35,5,277133
1,0.85,35,10,252965
1,0.85,35,15,236310.4
1,0.85,35,20,227991.4
1,0.85,35,30,213528.2
1,0.85,50,5,230361.6
1,0.85,50,10,208770.6
1,0.85,50,15,197354
1,0.85,50,20,189799
1,0.85,50,30,178428.2
1,0.85,100,5,162066.2
1,0.85,100,10,146238.8
1,0.85,100,15,136709.8
1,0.85,100,20,131859.2
1,0.85,100,30,123129
1,0.9,10,5,531896
1,0.9,10,10,483527
1,0.9,10,15,455185.6
1,0.9,10,20,438613.6
1,0.9,10,30,410579.6
1,0.9,20,5,373564.8
1,0.9,20,10,337653
1,0.9,20,15,320295.6
1,0.9,20,20,304714
1,0.9,20,30,285276.2
1,0.9,35,5,279671.4
1,0.9,35,10,251555
1,0.9,35,15,238537.4
1,0.9,35,20,227485.2
1,0.9,35,30,213334.4
1,0.9,50,5,230732.6
1,0.9,50,10,208691.2
1,0.9,50,15,197521.6
1,0.9,50,20,189432.6
1,0.9,50,30,177110.6
1,0.9,100,5,161311.6
1,0.9,100,10,146095.2
1,0.9,100,15,137574.6
1,0.9,100,20,132319.6
1,0.9,100,30,123655.8
1,0.95,10,5,530749
1,0.95,10,10,484188
1,0.95,10,15,457198.2
1,0.95,10,20,438873.4
1,0.95,10,30,409187.6
1,0.95,20,5,376299.4
1,0.95,20,10,339903
1,0.95,20,15,320672.8
1,0.95,20,20,306234.2
1,0.95,20,30,285377
1,0.95,35,5,277245.2
1,0.95,35,10,252728.6
1,0.95,35,15,238227.4
1,0.95,35,20,227578.6
1,0.95,35,30,213630
1,0.95,50,5,232081
1,0.95,50,10,210076.2
1,0.95,50,15,197811
1,0.95,50,20,189549.6
1,0.95,50,30,176339.2
1,0.95,100,5,159664.4
1,0.95,100,10,145881.4
1,0.95,100,15,137436.2
1,0.95,100,20,132183.4
1,0.95,100,30,123798.4
1,0.99,10,5,528739.4
1,0.99,10,10,484557.8
1,0.99,10,15,456336.4
1,0.99,10,20,437076
1,0.99,10,30,409019.6
1,0.99,20,5,369490
1,0.99,20,10,338571
1,0.99,20,15,317509.4
1,0.99,20,20,303932
1,0.99,20,30,285667.8
1,0.99,35,5,279577
1,0.99,35,10,251389.6
1,0.99,35,15,237295.6
1,0.99,35,20,228212.4
1,0.99,35,30,212873.2
1,0.99,50,5,229247.4
1,0.99,50,10,210136.8
1,0.99,50,15,198470.8
1,0.99,50,20,188749.2
1,0.99,50,30,177185
1,0.99,100,5,160198
1,0.99,100,10,146624
1,0.99,100,15,137468.2
1,0.99,100,20,131651.6
1,0.99,100,30,122880.4
5,0.8,10,5,534890.4
5,0.8,10,10,482711.4
5,0.8,10,15,454084.2
5,0.8,10,20,436836.4
5,0.8,10,30,409743.6
5,0.8,20,5,372306.2
5,0.8,20,10,336775.2
5,0.8,20,15,319978.6
5,0.8,20,20,303513
5,0.8,20,30,285848.6
5,0.8,35,5,278520.8
5,0.8,35,10,253155.6
5,0.8,35,15,237282.2
5,0.8,35,20,228801.2
5,0.8,35,30,213714.6
5,0.8,50,5,231883.2
5,0.8,50,10,208785.8
5,0.8,50,15,198041.8
5,0.8,50,20,189325.8
5,0.8,50,30,177490
5,0.8,100,5,160842.4
5,0.8,100,10,145568.6
5,0.8,100,15,136785.8
5,0.8,100,20,131949
5,0.8,100,30,123444.8
5,0.85,10,5,534630.4
5,0.85,10,10,483914.6
5,0.85,10,15,455686
5,0.85,10,20,436263.4
5,0.85,10,30,409595
5,0.85,20,5,371305
5,0.85,20,10,338344
5,0.85,20,15,320341.4
5,0.85,20,20,304867.8
5,0.85,20,30,285928.4
5,0.85,35,5,281120.2
5,0.85,35,10,252571.4
5,0.85,35,15,237754.8
5,0.85,35,20,227837.6
5,0.85,35,30,214016
5,0.85,50,5,231443.8
5,0.85,50,10,211380
5,0.85,50,15,197156.6
5,0.85,50,20,188760.4
5,0.85,50,30,177353
5,0.85,100,5,161543.8
5,0.85,100,10,146660.2
5,0.85,100,15,137847.8
5,0.85,100,20,131525.2
5,0.85,100,30,123227.4
5,0.9,10,5,534081
5,0.9,10,10,484376.6
5,0.9,10,15,456643.8
5,0.9,10,20,436120.4
5,0.9,10,30,409063
5,0.9,20,5,371404.4
5,0.9,20,10,338155
5,0.9,20,15,319658.2
5,0.9,20,20,304772.6
5,0.9,20,30,285889.4
5,0.9,35,5,278079.4
5,0.9,35,10,253196.8
5,0.9,35,15,238762.4
5,0.9,35,20,229666.6
5,0.9,35,30,213618.2
5,0.9,50,5,232777
5,0.9,50,10,209747.2
5,0.9,50,15,197778.4
5,0.9,50,20,188927.2
5,0.9,50,30,176293.2
5,0.9,100,5,161404.6
5,0.9,100,10,146856.4
5,0.9,100,15,137929.6
5,0.9,100,20,131814.8
5,0.9,100,30,122898.8
5,0.95,10,5,534462.8
5,0.95,10,10,482924.4
5,0.95,10,15,457006.2
5,0.95,10,20,435236.6
5,0.95,10,30,408947.8
5,0.95,20,5,368508.2
5,0.95,20,10,338632.6
5,0.95,20,15,317604.4
5,0.95,20,20,305422.8
5,0.95,20,30,285112
5,0.95,35,5,277019.8
5,0.95,35,10,251797
5,0.95,35,15,237992
5,0.95,35,20,228102.2
5,0.95,35,30,212486.2
5,0.95,50,5,231148.8
5,0.95,50,10,210595.6
5,0.95,50,15,198491.6
5,0.95,50,20,189166
5,0.95,50,30,177482
5,0.95,100,5,160787.6
5,0.95,100,10,147131
5,0.95,100,15,137958.6
5,0.95,100,20,132158.8
5,0.95,100,30,123814.2
5,0.99,10,5,532124.8
5,0.99,10,10,481240.4
5,0.99,10,15,456988.2
5,0.99,10,20,436193.2
5,0.99,10,30,408565.6
5,0.99,20,5,370544.4
5,0.99,20,10,338836.2
5,0.99,20,15,318563.6
5,0.99,20,20,304550.8
5,0.99,20,30,285457
5,0.99,35,5,278558.2
5,0.99,35,10,252108.6
5,0.99,35,15,237292
5,0.99,35,20,228884
5,0.99,35,30,214112.4
5,0.99,50,5,230810.2
5,0.99,50,10,208862.2
5,0.99,50,15,197112.6
5,0.99,50,20,188947.2
5,0.99,50,30,176517.4
5,0.99,100,5,160218.2
5,0.99,100,10,146221
5,0.99,100,15,137825.4
5,0.99,100,20,130915.4
5,0.99,100,30,123295
10,0.8,10,5,533138.6
10,0.8,10,10,484410.2
10,0.8,10,15,458420.6
10,0.8,10,20,437515
10,0.8,10,30,409200
10,0.8,20,5,372886
10,0.8,20,10,336942.2
10,0.8,20,15,317949
10,0.8,20,20,304670.4
10,0.8,20,30,285322.6
10,0.8,35,5,277033.6
10,0.8,35,10,251565
10,0.8,35,15,237852.2
10,0.8,35,20,228068.6
10,0.8,35,30,213393.8
10,0.8,50,5,229087.2
10,0.8,50,10,209494.2
10,0.8,50,15,197137.6
10,0.8,50,20,188608.6
10,0.8,50,30,177173.2
10,0.8,100,5,160926.2
10,0.8,100,10,146910.4
10,0.8,100,15,138267.4
10,0.8,100,20,132283.4
10,0.8,100,30,123877
10,0.85,10,5,532369.4
10,0.85,10,10,483789.2
10,0.85,10,15,456134.6
10,0.85,10,20,436771.6
10,0.85,10,30,410307.8
10,0.85,20,5,371548.6
10,0.85,20,10,338202.2
10,0.85,20,15,319047.2
10,0.85,20,20,305592.2
10,0.85,20,30,285664.2
10,0.85,35,5,278605.8
10,0.85,35,10,252967.2
10,0.85,35,15,237235.4
10,0.85,35,20,227767
10,0.85,35,30,212845.8
10,0.85,50,5,229771.6
10,0.85,50,10,210157.4
10,0.85,50,15,197286.8
10,0.85,50,20,189192.4
10,0.85,50,30,177141.8
10,0.85,100,5,161516.8
10,0.85,100,10,146498.6
