tabu_tenure,max_iterations,no_improve_limit,avg_distance
5,5,5,815055.8
5,5,15,816396
5,5,30,814642.4
5,20,5,751275.8
5,20,15,751101
5,20,30,749835.8
5,50,5,652724.2
5,50,15,653972.2
5,50,30,655227.6
5,70,5,596721.4
5,70,15,596050.4
5,70,30,596055.4
15,5,5,815865.2
15,5,15,814646.8
15,5,30,815979
15,20,5,751107.2
15,20,15,752060.2
15,20,30,751461.8
15,50,5,652346.8
15,50,15,652544
15,50,30,652805.4
15,70,5,593873.4
15,70,15,594416.2
15,70,30,595723.2
30,5,5,815467.4
30,5,15,814501.6
30,5,30,816928.8
30,20,5,749549.6
30,20,15,750239.2
30,20,30,750830.2
30,50,5,653872
30,50,15,653071
30,50,30,655015
30,70,5,594010.6
30,70,15,594978.6
30,70,30,594287.2
0,5,5,815390.4
0,5,15,814432.4
0,5,30,816114
0,20,5,750782
0,20,15,750445.6
0,20,30,749610.8
0,50,5,653129.4
0,50,15,653852.2
0,50,30,653914.2
0,70,5,595539
0,70,15,594798.6
0,70,30,596261.6
